# t,s
0.000000000000000000e+00,0.000000000000000000e+00
2.050200496141875808e-04,2.892840289199216305e-02
4.100400992283751616e-04,8.488781296333364201e-02
6.150601488425627966e-04,1.473985555702597428e-01
8.200801984567503231e-04,2.103173999778736314e-01
1.025100248070937850e-03,2.718391057587604132e-01
1.230120297685125593e-03,3.314697504972372033e-01
1.435140347299313120e-03,3.891105582359598580e-01
1.640160396913500646e-03,4.447806181041169538e-01
1.845180446527688173e-03,4.985330061089102704e-01
2.050200496141875699e-03,5.504294519879240344e-01
2.255220545756063226e-03,6.005327268449399680e-01
2.460240595370251186e-03,6.489043932820327543e-01
2.665260644984438713e-03,6.956041769851305512e-01
2.870280694598626239e-03,7.406898273368178742e-01
3.075300744212813766e-03,7.842171243103539524e-01
3.280320793827001292e-03,8.262399279493073401e-01
3.485340843441188819e-03,8.668102391006435870e-01
3.690360893055376346e-03,9.059782619729865871e-01
3.895380942669563872e-03,9.437924657205817303e-01
4.100400992283751399e-03,9.802996442582767589e-01
4.305421041897939359e-03,1.015544974117899235e+00
4.510441091512126452e-03,1.049572070337821517e+00
4.715461141126314412e-03,1.082423040430711358e+00
4.920481190740502372e-03,1.114138536488941122e+00
5.125501240354689465e-03,1.144757805489918789e+00
5.330521289968877426e-03,1.174318737862920514e+00
5.535541339583064518e-03,1.202857914377326809e+00
5.740561389197252479e-03,1.230410651410217326e+00
5.945581438811439572e-03,1.257011044649328113e+00
6.150601488425627532e-03,1.282692011285443412e+00
6.355621538039814625e-03,1.307485330746434915e+00
6.560641587654002585e-03,1.331421684023352148e+00
6.765661637268190545e-03,1.354530691637231055e+00
6.970681686882377638e-03,1.376840950293602539e+00
7.175701736496565598e-03,1.398380068270060450e+00
7.380721786110752691e-03,1.419174699580678656e+00
7.585741835724940652e-03,1.439250576959556271e+00
7.790761885339127744e-03,1.458632543704305284e+00
7.995781934953314837e-03,1.477344584418889717e+00
8.200801984567502798e-03,1.495409854693854346e+00
8.405822034181690758e-03,1.512850709760675150e+00
8.610842083795878718e-03,1.529688732155690012e+00
8.815862133410066678e-03,1.545944758427841403e+00
9.020882183024252904e-03,1.561638904923282167e+00
9.225902232638440864e-03,1.576790592678752212e+00
9.430922282252628824e-03,1.591418571454530140e+00
9.635942331866816785e-03,1.605540942936701576e+00
9.840962381481004745e-03,1.619175183137452345e+00
1.004598243109519097e-02,1.632338164021112981e+00
1.025100248070937893e-02,1.645046174382707616e+00
1.045602253032356689e-02,1.657314940004851689e+00
1.066104257993775485e-02,1.669159643117937852e+00
1.086606262955194108e-02,1.680594941187689928e+00
1.107108267916612904e-02,1.691634985053340534e+00
1.127610272878031700e-02,1.702293436438869989e+00
1.148112277839450496e-02,1.712583484858980709e+00
1.168614282800869292e-02,1.722517863940728144e+00
1.189116287762287914e-02,1.732108867181002321e+00
1.209618292723706710e-02,1.741368363159362831e+00
1.230120297685125506e-02,1.750307810225050886e+00
1.250622302646544302e-02,1.758938270676354110e+00
1.271124307607962925e-02,1.767270424449868482e+00
1.291626312569381721e-02,1.775314582336602331e+00
1.312128317530800517e-02,1.783080698741269510e+00
1.332630322492219313e-02,1.790578384000568679e+00
1.353132327453638109e-02,1.797816916275687849e+00
1.373634332415056732e-02,1.804805253033749279e+00
1.394136337376475528e-02,1.811552042132410056e+00
1.414638342337894324e-02,1.818065632521324471e+00
1.435140347299313120e-02,1.824354084573720503e+00
1.455642352260731742e-02,1.830425180060871071e+00
1.476144357222150538e-02,1.836286431781802175e+00
1.496646362183569334e-02,1.841945092860157729e+00
1.517148367144988130e-02,1.847408165719722328e+00
1.537650372106406926e-02,1.852682410749711739e+00
1.558152377067825549e-02,1.857774354670552297e+00
1.578654382029244518e-02,1.862690298610501616e+00
1.599156386990662967e-02,1.867436325903107042e+00
1.619658391952081763e-02,1.872018309615147924e+00
1.640160396913500560e-02,1.876441919814381354e+00
1.660662401874919356e-02,1.880712630586079959e+00
1.681164406836338152e-02,1.884835726807049916e+00
1.701666411797756948e-02,1.888816310685507149e+00
1.722168416759175744e-02,1.892659308074907010e+00
1.742670421720594540e-02,1.896369474569541858e+00
1.763172426682013336e-02,1.899951401389445182e+00
1.783674431643431785e-02,1.903409521061890430e+00
1.804176436604850581e-02,1.906748112906509585e+00
1.824678441566269377e-02,1.909971308330824513e+00
1.845180446527688173e-02,1.913083095942738510e+00
1.865682451489106969e-02,1.916087326486321185e+00
1.886184456450525765e-02,1.918987717606987164e+00
1.906686461411944561e-02,1.921787858451972753e+00
1.927188466373363357e-02,1.924491214111796911e+00
1.947690471334782153e-02,1.927101129908207700e+00
1.968192476296200949e-02,1.929620835533918388e+00
1.988694481257619398e-02,1.932053449049253802e+00
2.009196486219038194e-02,1.934401980740659166e+00
2.029698491180456990e-02,1.936669336845837641e+00
2.050200496141875786e-02,1.938858323150132623e+00
2.070702501103294582e-02,1.940971648458604593e+00
2.091204506064713378e-02,1.943011927948094630e+00
2.111706511026132174e-02,1.944981686403428611e+00
2.132208515987550970e-02,1.946883361341762209e+00
2.152710520948969766e-02,1.948719306028935838e+00
2.173212525910388215e-02,1.950491792391571666e+00
2.193714530871807011e-02,1.952203013828512024e+00
2.214216535833225807e-02,1.953855087925088219e+00
2.234718540794644603e-02,1.955450059073566393e+00
2.255220545756063399e-02,1.956989901003023613e+00
2.275722550717482195e-02,1.958476519221777901e+00
2.296224555678900991e-02,1.959911753375396692e+00
2.316726560640319788e-02,1.961297379523205153e+00
2.337228565601738584e-02,1.962635112336105214e+00
2.357730570563157033e-02,1.963926607218429377e+00
2.378232575524575829e-02,1.965173462356454737e+00
2.398734580485994625e-02,1.966377220696110095e+00
2.419236585447413421e-02,1.967539371852326413e+00
2.439738590408832217e-02,1.968661353952389170e+00
2.460240595370251013e-02,1.969744555415579246e+00
2.480742600331669809e-02,1.970790316671298781e+00
2.501244605293088605e-02,1.971799931817814766e+00
2.521746610254507401e-02,1.972774650223663828e+00
2.542248615215925850e-02,1.973715678073711510e+00
2.562750620177344646e-02,1.974624179861767859e+00
2.583252625138763442e-02,1.975501279831614054e+00
2.603754630100182238e-02,1.976348063368221331e+00
2.624256635061601034e-02,1.977165578340881469e+00
2.644758640023019830e-02,1.977954836399914429e+00
2.665260644984438626e-02,1.978716814228554499e+00
2.685762649945857422e-02,1.979452454751567281e+00
2.706264654907276218e-02,1.980162668302090312e+00
2.726766659868694667e-02,1.980848333748143952e+00
2.747268664830113463e-02,1.981510299580203860e+00
2.767770669791532259e-02,1.982149384961181759e+00
2.788272674752951055e-02,1.982766380740115686e+00
2.808774679714369851e-02,1.983362050430823142e+00
2.829276684675788647e-02,1.983937131156724210e+00
2.849778689637207443e-02,1.984492334563011440e+00
2.870280694598626239e-02,1.985028347697289419e+00
2.890782699560045035e-02,1.985545833859774900e+00
2.911284704521463484e-02,1.986045433424111550e+00
2.931786709482882280e-02,1.986527764629812953e+00
2.952288714444301077e-02,1.986993424347314852e+00
2.972790719405719873e-02,1.987442988816586320e+00
2.993292724367138669e-02,1.987877014360207362e+00
3.013794729328557465e-02,1.988296038071803329e+00
3.034296734289976261e-02,1.988700578480680159e+00
3.054798739251395057e-02,1.989091136193490428e+00
3.075300744212813853e-02,1.989468194513718924e+00
3.095802749174232302e-02,1.989832220039755795e+00
3.116304754135651098e-02,1.990183663242298673e+00
3.136806759097070241e-02,1.990522959021795657e+00
3.157308764058489037e-02,1.990850527246622592e+00
3.177810769019907833e-02,1.991166773272657453e+00
3.198312773981325935e-02,1.991472088444895983e+00
3.218814778942744731e-02,1.991766850581728532e+00
3.239316783904163527e-02,1.992051424442481400e+00
3.259818788865582323e-02,1.992326162178792881e+00
3.280320793827001119e-02,1.992591403770391345e+00
3.300822798788419915e-02,1.992847477445811144e+00
3.321324803749838711e-02,1.993094700088564375e+00
3.341826808711257507e-02,1.993333377629274539e+00
3.362328813672676303e-02,1.993563805424257707e+00
3.382830818634095099e-02,1.993786268621015711e+00
3.403332823595513895e-02,1.994001042511098998e+00
3.423834828556932691e-02,1.994208392870770563e+00
3.444336833518351487e-02,1.994408576289897095e+00
3.464838838479770283e-02,1.994601840489470534e+00
3.485340843441189079e-02,1.994788424628155310e+00
3.505842848402607875e-02,1.994968559598240709e+00
3.526344853364026671e-02,1.995142468311362993e+00
3.546846858325445467e-02,1.995310365974351630e+00
3.567348863286863569e-02,1.995472460355541378e+00
3.587850868248282366e-02,1.995628952041879067e+00
3.608352873209701162e-02,1.995780034687144600e+00
3.628854878171119958e-02,1.995925895251591475e+00
3.649356883132538754e-02,1.996066714233303729e+00
3.669858888093957550e-02,1.996202665891558370e+00
3.690360893055376346e-02,1.996333918462465107e+00
3.710862898016795142e-02,1.996460634367153597e+00
3.731364902978213938e-02,1.996582970412764668e+00
3.751866907939632734e-02,1.996701077986494210e+00
3.772368912901051530e-02,1.996815103242931544e+00
3.792870917862470326e-02,1.996925187284920078e+00
3.813372922823889122e-02,1.997031466338168304e+00
3.833874927785307918e-02,1.997134071919824283e+00
3.854376932746726714e-02,1.997233131001225681e+00
3.874878937708145510e-02,1.997328766165022751e+00
3.895380942669564306e-02,1.997421095756868548e+00
3.915882947630983102e-02,1.997510234031870890e+00
3.936384952592401898e-02,1.997596291295978155e+00
3.956886957553820000e-02,1.997679374042479861e+00
3.977388962515238796e-02,1.997759585083789258e+00
3.997890967476657592e-02,1.997837023678670221e+00
4.018392972438076388e-02,1.997911785655066774e+00
4.038894977399495184e-02,1.997983963528688012e+00
4.059396982360913980e-02,1.998053646617493184e+00
4.079898987322332776e-02,1.998120921152219731e+00
